Candidate,Party
Katarina Ammitzbøll,C
Allan Beier,C
Helle Bonnesen,C
Nikolaj Bøgh,C
Rico Djernis,C
Helle Jønch,C
Anders Havelund Krøyer,C
Nicola Emily Larsen,C
Laura Lindahl,C
Martin Wood Pedersen,C
Peter Stakemann,C
Casper Øhlers,C
Henrik Ræder Clausen,D
Daniel Pinderup,D
Ketil Wathne Rasmussen,D
Niels Peder Ravn,D
Denise Rostgaard,D
Sadek Al-Amood,F
Balder Mørk Andersen,F
Lisbeth Bech-Nielsen,F
Andreas Bæk,F
Pia Olsen Dyhr,F
Cecilie Louise Balbay Holdt,F
Melissa Skovgaard Jensen,F
Klaus Mygind,F
Halime Oguz,F
Line Petersen,F
Peder Holk Svendsen,F
Carl Valentin,F
Per Nørgaard Andersen,I
Joanne Bywater,I
Christian Riegels Hjorth,I
Martin Sibast Laugesen,I
Hira Nadeem,I
Charlotte Nellemann,I
Ole Birk Olesen,I
Alexander Ryle,I
Claus Willén,I
Jacob Bang,K
Nanna Bock,K
Jesper Housgaard,K
Tina Mørk,K
Gunnar Bjørn Thomsen,K
Marina Andersen,M
Louise Davidsen,M
Ellen Emilie,M
Nanna W. Gotfredsen,M
Johan Kahl,M
Jørgen Kjøller,M
Lean Milo,M
Lars Philipsen Prahm,M
Jon Stephensen,M
Kenneth Kristensen Berth,O
Helene Brix,O
Brian Bruun,O
Jannie Bøgh,O
John Bo Hansen,O
Paw Karslund,O
Sikandar Siddique,Q
Elise Bjerkrheim,Q
Rajesh Holmen,Q
Rashid Ali,Q
Sazan Garmiyani,Q
Daniel Tomicic,Q
Elena Bjerregaard Ryan,Q
Iben Kirstine Parmann,Q
René Bredal,V
Claus Buch,V
Anders Fausbøll,V
Martin Geertsen,V
Jan E. Jørgensen,V
Michael Lange,V
Anne Rasmussen,V
Bo Sandroos,V
Alexandra Sasha,V
Sven Aage Schlosrich,V
Linea Søgaard-Lidell,V
Søren Sørensen,V
Claus Gisselmann,Æ
Therese Skaarup,Æ
Pelle Dragsted,Ø
Rosa Lund,Ø
Jette Gottlieb,Ø
Leila Stockmarr,Ø
Ibrahim Benli,Ø
Louis Jacobsen,Ø
Anna Berg,Ø
Clara Turms,Ø
Emil Samaras,Ø
Mette Bloch Hansen,Ø
David Rønne,Ø
Dorthe Hecht,Ø
Mette Bram,Å
Kim Hjerrild,Å
Birgitte Kehler Holst,Å
Troels Chr. Jakobsen,Å
Jan Kristoffersen,Å
Annika Martins,Å
Carsten Olesen,Å
Lars Corvinius Olesen,Å
Christina Olumeko,Å
Jonathan Ries,Å
Franciska Rosenkilde,Å
Jan Schumann,Å
Noah Sturis,Å
Flemming Blicher,UDEN
Tom Gillesberg,UDEN
Mette Frederiksen,A
Ane Halsboe-Jørgensen,A
Per Husted,A
Morten Klessen,A
Simon Kollerup,A
Bjarne Laustsen,A
Flemming Møller Mortensen,A
Rasmus Prehn,A
Morten Ryom,A
Daniel Nyboe Andersen,B
Bjarne Axelsen,B
Christian Friis Bach,B
Charlotte Amdi Burgess,B
Pia Elberg,B
Steffen Holme Helledie,B
Julius Bjørn Honoré,B
Dorthe Kerschus,B
Lene Burchardt,C
Mikkel Højsleth,C
Lene Brix Kjelgaard Jensen,C
Mette Jensen,C
Jens-Henrik Kirk,C
Alexander Klitgaard,C
Per Larsen,C
Jakob Axel Nielsen,C
Karsten Skov Petersen,C
Mia Tang,C
Kim Edberg Andersen,D
John Bjerg,D
Brian Nielsen,D
Sysser Nørholm,D
Lars Rem,D
Melina Andersen,F
Theresa Berg Andersen,F
Lasse Hjorthøj Jensen,F
Benjamin Jørgensen,F
Henning Jørgensen,F
Thomas Kjeldsen,F
Peder Larsen,F
Dorte M. Nielsen,F
Thorkil Olesen,F
Martin Bech,I
HP Beck,I
Kenneth Skatka Hammer,I
Victor Horsted,I
Sólbjørg Jakobsen,I
Jonas Jensen,I
Agnethe Benedikt Mørch,I
Bo Ritterbusch,I
Hans-Henning Terp-Hansen,I
Michel Thrysøe,I
Ronny Van Tieu,I
Jørgen Bjerregaard,K
Karlo Brondbjerg,K
Britta Eckhardt,K
Anne-Marie Jørgensen,K
Peter Scheining,K
Kristian Klarskov,M
Dina Mofidi,M
Rikke Pedersen,M
Mohammad Rona,M
Carsten Ullmann Andersen,O
Nana Harring,O
Per Michael Hauritz,O
Christian Langballe,O
Kasper Sørmer-Sørensen,O
Susanne Zimmer,Q
Esra Ocak,Q
Ayan Farah,Q
Marie Bjerre,V
Henrik Buchhave,V
Mette Hardam,V
Preben Bang Henriksen,V
Anita Vivi Lilholt,V
Torsten Schack Pedersen,V
Phillip Sperling,V
Maja Torp,V
Anne Honoré Østergaard,V
Lise Bech,Æ
Kristian Bøgsted,Æ
Peter Lindholt,Æ
Inger Støjberg,Æ
Peder Hvelplund,Ø
Astrid Vang Hansen,Ø
Susanne Flydtkjær,Ø
Runa Friis Hansen,Ø
Berit Raldin,Ø
Malene Ingwersen,Ø
Stine Ry Andersen,Ø
Pia Thorsen,Ø
Janne Toft-Lind,Ø
Nicklas Gjedsig,Å
Jens Harder,Å
Mark Andrew Jewkes,Å
Joachim Plaetner Kjeldsen,Å
Mikkel Larsson,Å
Liselotte Jakobe Lundgaard,Å
Theresa Scavenius,Å
Jef Seistrup,Å
Anette Jensen Smith,Å
Gustav Sieg Sørensen,Å
Clara Wolf,Å
Jette Møller,UDEN
Fie Hækkerup,A
Miki Dam Larsen,A
Louise Mehnke,A
Henrik Møller,A
Matilde Powers,A
Rasmus Stoklund,A
Christian Holm Donatzky,B
Tine Hessner,B
Martin Lidegaard,B
Jacob Netteberg,B
Maria Katarina Nielsen,B
Christina Thorholm,B
Mette Abildgaard,C
Birgitte Bergman,C
Nikolaj Frederiksen,C
Emma Juul Hansen,C
Egil Hulgaard,C
Christoffer Buster Reinhardt,C
Niels Martin Viuff,C
Claus Bruncke,D
Søren Højbjerg,D
Per Olsen,D
Søren Regenberg,D
Mette Thiesen,D
Carsten Winther,D
Marianne Bigum,F
Silje Brynildsen,F
Jens Skov,F
Stefan B. Skrubbeltrang,F
Marianne Stannum,F
Peter Westermann,F
Kim Bjørnstrup,I
Kira Danholm,I
Steffen W. Frølund,I
Lars Høyer Holmqvist,I
Robert Mørck,I
Marianne Porsborg,I
Steffen Sjørslev,I
Josephine Svane,I
Henrik Forsberg,K
Stig Grenov,K
Britta Kristensen,K
Kurt Pedersen,K
Eva Skade Rasmussen,K
Jakob Engel-Schmidt,M
Kim Mejnert Frydensbjerg,M
Ulf Helgstrand,M
Kim Rasmussen,M
Carina Bloch Simonsen,M
Erick Thürmer,M
Pia Adelsteen,O
Brian Lyck Jørgensen,O
Gert Løfgren,O
Birgitte Milling,O
Christian Sødergren,O
Lars Oskan-Henriksen,Q
Clara Rebecca Svarc,Q
Hans Andersen,V
Jørgen Eirfeldt,V
Thomas Elong,V
Mette Lene Jensen,V
Marianne Lynghøj,V
Sophie Løhde,V
Lars Bregnbak,Æ
Marlene Harpsøe,Æ
Lars Ole Skovgaard Larsen,Æ
Sinem Demir,Ø
Øjvind Vilsholm,Ø
Thue Lundgaard,Ø
Annie Hagel,Ø
Emil Ulrik Andersen,Ø
Christoffer Emil Jexen,Ø
Helene Liliendahl Brydensholt,Å
Sidsel Dyekjær,Å
Morten Hvidberg Greve,Å
Nicklas Hakmann,Å
Nanna Høyrup,Å
Mette Jeppesen,Å
Mariane Lunden,Å
Maud Margrethe Pedersen,Å
Mette Skamris,Å
Allon Hein Sørensen,Å
Katjalivah Elleyhansen,UDEN
Jayseth Lotus Arrose Simonysano,UDEN
Kaare Dybvad Bek,A
Brian Bressendorff,A
Frederik Enevoldsen,A
Mette Gjerskov,A
Magnus Heunicke,A
Thorkild Holmboe-Hay,A
Jeppe Kofod,A
Astrid Krag,A
Rasmus Horn Langhoff,A
Tanja Larsson,A
Kasper Roug,A
Frederik Vad,A
Hikmet Altun,B
Troels Brandt,B
Anne Sophie Callesen,B
Line Krogh Lay,B
Lukas Lunøe,B
Zenia Stampe,B
Kristian Stokholm,B
Jeppe Trolle,B
Edris Qasimi,B
Mads C. Andersen,C
Claus Dyremose,C
Brigitte Klintskov Jerkel,C
Andreas Karlsen,C
Annette Juhler Kjær,C
Rune Kristensen,C
Camillo Krog,C
Stine Pilt Olsen,C
Helle Laursen Petersen,C
Regitze Harslund Sancoeur,C
Mads Silberg,C
Jacob Stryhn,C
Claus Bedemann,D
Peter Seier Christensen,D
Henriette Ergemann,D
Ulrik Nick Lassen,D
Githa Nelander,D
Tonny Voldby Pedersen,D
Jan Bigum Warming,D
Jeanne Rygas Bergmansen,F
Anne Valentina Berthelsen,F
Astrid Carøe,F
Michael Graakjær,F
Gitte Henriksen,F
Claus Jørgensen,F
Jacob Mark,F
Mads Olsen,F
Kenneth Werby,F
Louie Andersen,I
Lars-Christian Brask,I
Frederik Grünfeld,I
Sander P. Larsen,I
Joachim Riis-Bernickow,I
Nicolai Sandager,I
Sandra Elisabeth Skalvig,I
Flemming Sørensen,I
Henrik Thomsen,I
Nikolaj Vester,I
Thomas Vesth,I
Finn Andersen,K
Eva Guldfred,K
John Haugegaard,K
Per Kristensen,K
Tage Sørensen,K
Mads Lund Beier,M
Jan Carlsen,M
Mike Villa Fonseca,M
Charlotte Bagge Hansen,M
Michael Hertz,M
